path,subject,session,task,acq
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\A\Backup of Box 03 2023-07-09 17.43 Subject #044404_Mighty.txt,mighty,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\A\Backup of Box 04 2023-07-09 17.41 Subject #044405_Stuart.txt,stuart,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\B\Backup of Box 01 2023-07-09 17.47 Subject #044406_Perla.txt,perla,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\B\Backup of Box 02 2023-07-09 17.53 Subject #043920_Pikachu.txt,pikachu,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\B\Backup of Box 03 2023-07-09 17.58 Subject #044404_Mighty.txt,mighty,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G4\B\Backup of Box 04 2023-07-09 17.55 Subject #044405_Stuart.txt,stuart,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\A\Backup of Box 01 2023-07-10 13.57 Subject #043965_Minnie.txt,minnie,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\A\Backup of Box 02 2023-07-10 14.00 Subject #043966_Maisy.txt,maisy,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\A\Backup of Box 03 2023-07-10 13.58 Subject #043921_Angelina.txt,angelina,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\A\Backup of Box 04 2023-07-10 14.07 Subject #043922_Gadget.txt,gadget,rev.01,rev,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\B\Backup of Box 01 2023-07-10 14.13 Subject #043965_Minnie.txt,minnie,rev.01,rev,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230710_rRR20_1\G1\B\Backup of Box 02 2023-07-10 14.18 Subject #043966_Maisy.txt,maisy,rev.01,rev,B
